Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
"65210 Support occupations in accommodation, travel and facilities set-up services",35,20,10,0,0,0,75,45,35,55,20,30,915,700,215,"1,145",900,250,155,110,45,60,55,10,345,280,65,920,700,225,0,0,0,0,0,0,0,0,0
"65211 Operators and attendants in amusement, recreation and sport",635,390,250,335,205,130,"1,200",775,435,"1,005",595,410,"9,555","6,635","2,920","13,910","8,915","5,000","1,265",775,490,"1,490",795,690,"5,880","3,290","2,590","5,825","3,425","2,405",75,40,40,45,15,20,50,45,10
6522 Support occupations in personal services,410,30,380,100,0,100,945,135,815,635,100,540,"6,315","1,445","4,865","14,125","2,425","11,705","1,050",135,915,945,115,835,"4,745",705,"4,040","5,675",965,"4,705",40,0,40,30,15,15,10,0,0
65220 Pet groomers and animal care workers,400,30,370,100,0,100,890,130,760,570,90,475,"5,700","1,305","4,400","12,925","2,255","10,665",965,135,830,840,105,735,"4,315",635,"3,685","4,840",830,"4,015",40,0,40,30,15,15,10,0,0
65229 Other support occupations in personal services,15,0,15,0,0,0,60,10,55,70,10,65,615,140,470,"1,205",165,"1,040",90,0,85,105,10,95,430,70,360,830,140,695,0,0,0,0,0,0,0,0,0
653 Support occupations in cleaning and related services,"8,020","3,285","4,740","2,535",865,"1,665","14,595","6,005","8,595","13,185","6,010","7,175","132,415","67,695","64,715","185,030","76,080","108,950","21,035","9,035","12,005","18,415","7,030","11,385","65,850","24,525","41,330","72,110","27,720","44,395",700,330,370,895,310,585,865,295,575
6531 Cleaners,"7,320","2,980","4,345","2,305",790,"1,510","13,195","5,350","7,840","12,210","5,605","6,605","120,425","61,140","59,275","166,525","67,785","98,735","19,115","8,210","10,905","16,750","6,350","10,400","60,775","22,470","38,300","65,700","24,920","40,775",670,320,345,835,300,535,865,285,575
65310 Light duty cleaners,"4,475","1,315","3,160","1,585",390,"1,195","8,755","2,425","6,330","6,995","1,970","5,020","88,420","36,030","52,385","105,565","26,715","78,855","11,230","3,045","8,195","9,530","2,075","7,460","35,960","8,480","27,480","38,475","8,270","30,205",310,105,205,400,85,320,340,70,265
65311 Specialized cleaners,535,500,35,145,115,35,"1,035",865,170,"1,095",970,120,"11,145","9,455","1,685","15,615","13,310","2,310","2,400","2,070",325,"2,000","1,610",390,"7,805","6,130","1,675","6,960","5,870","1,090",60,45,15,25,25,0,20,15,10
"65312 Janitors, caretakers and heavy-duty cleaners","2,315","1,160","1,150",570,285,285,"3,400","2,055","1,340","4,120","2,660","1,460","20,860","15,655","5,200","45,345","27,765","17,575","5,485","3,100","2,385","5,225","2,670","2,550","17,010","7,865","9,145","20,265","10,780","9,480",300,170,130,405,185,220,510,205,305
6532 Service support and related occupations,700,305,395,230,80,155,"1,405",650,755,980,410,570,"11,995","6,550","5,440","18,510","8,295","10,215","1,925",825,"1,095","1,670",685,985,"5,075","2,050","3,030","6,415","2,795","3,610",35,10,25,60,10,50,0,0,0
"65320 Dry cleaning, laundry and related occupations",295,65,225,115,20,95,685,240,450,535,170,360,"4,965","1,960","3,005","6,550","1,745","4,805",830,235,595,835,240,595,"2,120",465,"1,655","2,725",655,"2,070",0,0,0,25,0,15,0,0,0
65329 Other service support occupations,405,240,165,115,60,55,720,415,305,445,235,210,"7,030","4,590","2,435","11,955","6,545","5,410","1,095",590,505,835,445,385,"2,965","1,585","1,375","3,680","2,140","1,540",30,10,20,35,10,35,0,0,0
"7 Trades, transport and equipment operators and related occupations","54,575","50,230","4,345","15,570","14,380","1,185","89,775","82,710","7,065","75,675","70,425","5,255","762,630","700,360","62,270","1,278,455","1,153,435","125,020","134,415","124,430","9,990","114,350","104,545","9,805","477,810","430,740","47,060","511,120","462,275","48,845","4,805","4,355",445,"4,580","4,235",350,"3,035","2,820",215
70 Middle management occupations in trades and transportation,"2,595","2,170",430,865,765,100,"6,040","4,950","1,090","3,935","3,315",620,"45,325","38,055","7,270","123,390","101,905","21,480","9,790","8,115","1,680","7,635","6,395","1,240","39,750","32,605","7,140","50,325","41,285","9,040",360,320,45,300,250,55,175,150,25
700 Middle management occupations in trades and transportation,"2,595","2,170",430,865,765,100,"6,040","4,950","1,090","3,935","3,315",620,"45,325","38,055","7,270","123,390","101,905","21,480","9,790","8,115","1,680","7,635","6,395","1,240","39,750","32,605","7,140","50,325","41,285","9,040",360,320,45,300,250,55,175,150,25
7001 Managers in construction and facility operation and maintenance,"2,035","1,770",270,735,655,80,"5,040","4,200",840,"3,040","2,680",365,"37,405","32,270","5,135","103,915","87,650","16,265","7,835","6,595","1,240","6,460","5,500",960,"33,700","28,045","5,655","43,130","35,905","7,225",305,275,35,205,190,20,150,125,20
70010 Construction managers,805,740,65,195,185,0,"2,135","1,825",310,"1,175","1,085",90,"18,375","15,815","2,565","38,175","32,650","5,530","2,985","2,590",395,"2,605","2,305",300,"15,120","13,265","1,850","18,670","16,250","2,415",155,145,0,80,80,0,30,30,0
70011 Home building and renovation managers,320,305,15,215,215,0,940,865,75,495,470,20,"8,325","7,910",420,"31,140","29,320","1,820","1,895","1,810",85,"1,335","1,205",135,"7,085","6,335",750,"10,655","9,875",780,75,70,0,20,20,0,30,25,0
70012 Facility operation and maintenance managers,915,730,185,325,250,70,"1,970","1,510",455,"1,370","1,125",250,"10,695","8,545","2,150","34,595","25,680","8,920","2,960","2,195",760,"2,525","1,995",530,"11,500","8,445","3,055","13,810","9,775","4,035",80,60,20,105,85,15,85,75,15
7002 Managers in transportation and postal and courier services,560,395,160,135,115,15,995,750,245,895,645,255,"7,920","5,790","2,135","19,475","14,255","5,220","1,950","1,520",435,"1,175",895,285,"6,045","4,565","1,490","7,195","5,380","1,810",55,45,10,95,60,35,30,25,0
70020 Managers in transportation,500,370,125,130,110,15,880,670,205,780,585,195,"7,400","5,455","1,950","17,510","13,015","4,500","1,760","1,385",375,"1,015",825,190,"5,575","4,315","1,260","6,460","4,920","1,540",55,45,10,90,60,30,30,25,10
70021 Postal and courier services managers,60,25,35,0,0,0,115,80,40,120,55,60,515,330,190,"1,965","1,250",720,195,135,60,155,65,90,470,245,220,735,460,280,0,0,0,10,0,10,0,0,0
72 Technical trades and transportation officers and controllers,"23,190","22,185","1,005","6,445","6,205",240,"38,090","36,465","1,620","30,750","29,690","1,065","311,210","297,090","14,120","457,035","438,610","18,425","51,425","49,455","1,970","46,515","44,540","1,975","190,830","182,640","8,190","198,090","189,770","8,315","2,095","1,955",140,"1,665","1,600",65,720,690,35
720 Technical trades contractors and supervisors,"2,990","2,575",410,870,795,75,"5,580","5,005",575,"4,155","3,705",445,"36,390","31,730","4,660","77,485","70,450","7,035","8,340","7,640",700,"7,840","7,030",810,"32,305","29,545","2,765","34,830","31,990","2,840",335,300,40,170,165,10,75,60,15
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","1,380","1,350",30,480,480,0,"3,040","2,875",165,"1,980","1,875",105,"15,025","13,750","1,275","43,950","41,410","2,535","4,340","4,165",175,"3,885","3,705",180,"18,115","17,015","1,100","22,195","20,780","1,420",170,155,10,85,85,0,30,30,10
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",180,170,10,40,40,0,375,350,25,295,270,25,"3,290","2,990",300,"5,130","4,855",280,505,490,15,485,470,20,"2,170","2,100",75,"1,915","1,825",95,15,15,0,10,10,0,10,0,10
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",430,415,15,125,125,0,615,570,50,375,355,20,"4,020","3,550",475,"9,495","8,875",615,900,855,50,890,855,35,"3,525","3,365",160,"4,180","3,950",230,25,15,10,10,10,0,10,10,0
"72012 Contractors and supervisors, pipefitting trades",75,75,0,30,30,0,255,250,0,125,120,10,"1,045",990,60,"2,685","2,585",100,285,270,25,330,310,20,"1,675","1,610",65,"1,940","1,850",95,20,20,0,10,10,0,0,0,0
"72013 Contractors and supervisors, carpentry trades",320,320,0,110,110,0,655,640,15,360,350,0,"2,335","2,260",80,"5,900","5,730",170,615,595,15,580,560,25,"2,095","2,050",45,"3,400","3,285",115,55,50,0,30,30,0,0,0,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",375,375,0,170,170,0,"1,145","1,070",70,825,780,50,"4,340","3,965",370,"20,735","19,360","1,370","2,035","1,955",75,"1,595","1,515",80,"8,650","7,890",760,"10,760","9,875",885,55,55,0,25,25,0,10,10,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","1,605","1,225",385,390,315,75,"2,540","2,130",415,"2,175","1,835",345,"21,365","17,980","3,385","33,535","29,040","4,500","4,000","3,475",530,"3,950","3,325",630,"14,195","12,530","1,665","12,635","11,215","1,420",165,145,25,85,80,0,45,35,15
"72020 Contractors and supervisors, mechanic trades",285,265,15,80,70,10,625,605,20,505,495,10,"7,695","6,635","1,060","9,290","8,880",410,950,930,25,950,930,20,"3,730","3,570",155,"3,170","3,035",130,40,30,10,15,15,0,10,10,0
"72021 Contractors and supervisors, heavy equipment operator crews",805,775,30,215,200,20,"1,215","1,185",30,"1,160","1,090",75,"8,655","8,390",265,"15,360","14,760",600,"1,840","1,800",35,"2,045","1,965",80,"7,560","7,270",290,"6,760","6,425",335,100,90,10,55,55,0,20,20,0
"72022 Supervisors, printing and related occupations",10,0,0,0,0,0,35,20,15,15,10,0,740,455,280,890,560,340,95,50,50,15,15,0,195,130,65,175,130,50,0,0,0,0,0,0,0,0,0
"72023 Supervisors, railway transport operations",10,0,0,0,0,0,10,0,0,30,30,0,320,285,35,350,310,40,85,65,20,90,85,0,210,175,35,200,170,30,0,0,0,0,0,0,0,0,0
"72024 Supervisors, motor transport and other ground transit operators",150,110,40,30,25,15,280,185,100,235,155,75,"1,665","1,370",295,"4,865","3,170","1,695",635,475,155,360,260,105,"1,660","1,085",575,"1,460","1,020",440,15,15,0,0,0,0,10,0,0
"72025 Supervisors, mail and message distribution occupations",355,60,290,55,20,35,370,130,235,230,55,175,"2,295",845,"1,445","2,775","1,355","1,420",395,150,250,490,70,420,835,300,535,875,430,440,15,10,10,10,0,0,20,10,10
721 Technical industrial trades,"2,585","2,505",85,710,670,35,"4,150","4,025",125,"3,965","3,845",125,"48,610","46,065","2,545","68,345","65,235","3,115","6,885","6,725",160,"6,960","6,750",210,"28,275","27,430",845,"21,345","20,600",750,95,95,0,75,75,0,20,20,0
"7210 Machining, metal forming, shaping and erecting trades","2,585","2,505",85,710,670,35,"4,150","4,025",125,"3,965","3,845",125,"48,610","46,065","2,545","68,345","65,235","3,115","6,885","6,725",160,"6,960","6,750",210,"28,275","27,430",845,"21,345","20,600",750,95,95,0,75,75,0,20,20,0
72100 Machinists and machining and tooling inspectors,160,160,0,85,85,0,715,700,15,605,585,20,"13,620","12,675",940,"15,000","14,340",655,"1,025","1,000",20,900,890,10,"4,100","4,010",90,"3,070","3,035",40,15,15,0,0,0,0,0,0,0
72101 Tool and die makers,15,10,0,0,0,0,55,55,0,30,30,0,"1,440","1,230",210,"8,200","7,960",235,185,180,0,55,55,0,260,240,15,360,340,20,0,0,0,0,0,0,0,0,0
72102 Sheet metal workers,275,265,10,55,50,10,560,560,0,410,380,30,"5,220","5,090",130,"6,775","6,685",90,745,715,30,515,505,0,"2,595","2,510",90,"3,130","3,015",115,30,30,0,0,0,0,0,0,0
72103 Boilermakers,130,120,10,0,0,0,210,205,0,335,325,10,550,540,10,"1,255","1,220",30,105,105,0,165,155,0,985,970,20,505,485,20,0,0,0,0,0,0,0,0,0
72104 Structural metal and platework fabricators and fitters,45,45,0,15,15,0,320,305,15,130,125,10,"1,260","1,190",75,"2,395","2,330",65,185,185,0,160,150,10,705,705,0,"1,805","1,775",40,0,0,0,0,0,0,0,0,0
72105 Ironworkers,495,475,25,25,25,0,375,365,10,300,300,0,"3,210","3,130",75,"4,605","4,525",80,390,390,0,445,435,0,"2,080","2,020",65,"2,355","2,295",55,0,0,0,0,0,0,0,0,0
72106 Welders and related machine operators,"1,460","1,425",35,515,490,30,"1,915","1,835",85,"2,150","2,100",55,"23,320","22,210","1,110","30,130","28,170","1,955","4,245","4,145",105,"4,730","4,555",175,"17,545","16,975",570,"10,120","9,665",460,40,40,0,65,65,0,15,15,0
722 Technical electrical trades,"3,315","3,225",90,770,725,40,"4,775","4,615",160,"4,095","3,975",120,"36,920","35,495","1,425","62,515","60,825","1,690","7,080","6,925",160,"6,260","6,080",180,"27,245","26,310",930,"26,875","25,830","1,040",250,240,10,210,205,0,105,100,0
7220 Technical electrical trades and electrical power line and telecommunications workers,"3,315","3,225",90,770,725,40,"4,775","4,615",160,"4,095","3,975",120,"36,920","35,495","1,425","62,515","60,825","1,690","7,080","6,925",160,"6,260","6,080",180,"27,245","26,310",930,"26,875","25,830","1,040",250,240,10,210,205,0,105,100,0
72200 Electricians (except industrial and power system),"1,710","1,670",40,480,475,10,"2,790","2,690",100,"2,260","2,205",55,"20,195","19,700",495,"35,920","35,350",570,"4,440","4,385",55,"3,320","3,255",70,"16,425","15,825",595,"18,345","17,615",730,170,160,10,95,95,0,50,45,0
72201 Industrial electricians,655,625,30,55,55,0,700,680,20,490,490,0,"2,545","2,475",70,"8,720","8,590",130,760,750,0,"1,050","1,030",20,"4,775","4,685",95,"3,130","3,060",70,10,10,0,20,20,0,0,0,0
72202 Power system electricians,145,145,0,0,0,0,50,50,0,125,125,0,"1,195","1,155",45,"1,870","1,790",75,210,200,15,140,135,0,890,880,10,540,510,30,15,15,0,20,20,0,10,10,0
72203 Electrical power line and cable workers,415,410,0,80,80,0,410,410,0,560,560,0,"3,245","3,130",115,"4,300","4,260",50,680,675,0,850,835,15,"1,875","1,830",45,"1,300","1,285",20,25,25,0,30,30,0,10,10,0
72204 Telecommunications line and cable installers and repairers,135,135,0,40,35,10,320,310,0,190,190,0,"2,010","1,890",115,"4,760","4,570",190,435,410,20,235,235,0,"1,120","1,085",35,"1,185","1,150",35,20,20,0,10,10,0,10,10,0
72205 Telecommunications equipment installation and cable television service technicians,265,255,10,105,80,20,515,475,35,480,410,65,"7,735","7,140",590,"6,940","6,275",675,555,505,55,660,585,75,"2,160","2,005",150,"2,360","2,205",155,15,15,0,35,25,0,20,20,0
723 Technical construction trades,"5,920","5,810",110,"2,090","2,030",60,"10,110","9,850",260,"7,585","7,465",120,"75,255","73,225","2,035","96,045","93,825","2,220","11,155","10,835",320,"10,090","9,710",380,"41,015","39,435","1,585","52,160","50,680","1,485",730,685,45,440,420,15,285,275,0
"7230 Plumbers, pipefitters and gas fitters","1,285","1,260",25,415,395,25,"2,305","2,265",45,"1,775","1,750",30,"14,115","13,835",280,"28,530","28,145",385,"3,075","3,025",50,"3,300","3,230",70,"16,410","15,965",445,"14,755","14,425",325,130,130,0,145,145,10,65,65,0
72300 Plumbers,545,535,15,355,335,10,"1,355","1,335",20,"1,075","1,060",20,"9,670","9,470",200,"18,785","18,605",185,"2,365","2,330",30,"2,310","2,285",30,"8,795","8,560",235,"10,825","10,600",225,120,120,0,120,115,10,65,65,0
"72301 Steamfitters, pipefitters and sprinkler system installers",690,680,10,40,40,0,800,785,15,585,570,10,"4,000","3,955",50,"5,685","5,605",80,495,485,0,795,775,20,"6,655","6,475",185,"2,805","2,730",75,10,10,0,20,20,0,0,0,0
72302 Gas fitters,45,45,0,25,15,0,150,145,0,115,115,0,440,410,30,"4,060","3,935",125,220,205,10,185,175,15,965,940,25,"1,120","1,095",30,0,0,0,0,0,0,0,0,0
7231 Carpenters and cabinetmakers,"4,250","4,185",65,"1,575","1,535",35,"7,020","6,830",185,"5,205","5,135",70,"54,180","52,585","1,600","56,280","54,690","1,595","7,425","7,180",245,"6,190","5,905",280,"20,335","19,505",830,"34,155","33,165",990,570,525,45,290,280,10,215,210,0
72310 Carpenters,"4,080","4,030",55,"1,520","1,490",30,"6,735","6,570",165,"4,990","4,935",60,"47,910","46,970",945,"50,745","49,550","1,195","6,785","6,630",160,"5,820","5,575",245,"18,585","17,935",650,"31,530","30,725",800,550,510,35,280,275,0,215,210,0
72311 Cabinetmakers,165,155,15,55,50,0,280,265,20,220,205,10,"6,275","5,615",655,"5,530","5,135",395,635,555,80,370,330,35,"1,745","1,570",180,"2,625","2,435",190,25,15,0,10,0,10,0,0,0
7232 Bricklayers and insulators,380,365,15,100,100,0,785,755,35,595,580,15,"6,960","6,800",155,"11,230","10,995",235,650,620,30,595,570,30,"4,270","3,960",310,"3,255","3,090",165,25,25,0,0,0,0,0,0,0
72320 Bricklayers,180,170,10,55,55,0,405,380,20,290,290,0,"5,660","5,610",50,"8,425","8,345",80,325,315,0,355,340,10,"1,295","1,275",25,"1,845","1,820",25,0,0,0,0,0,0,0,0,0
72321 Insulators,200,195,0,45,45,0,385,370,10,310,290,15,"1,295","1,195",105,"2,805","2,650",155,335,305,30,240,225,15,"2,970","2,685",290,"1,410","1,270",140,20,20,0,0,0,0,0,0,0
724 Technical maintenance trades,"5,960","5,820",135,"1,790","1,760",25,"11,070","10,800",260,"9,540","9,400",140,"102,875","100,300","2,575","135,725","132,760","2,965","15,970","15,560",410,"14,110","13,820",295,"54,290","52,985","1,310","50,915","49,795","1,120",530,510,20,480,460,20,215,210,0
7240 Machinery and transportation equipment mechanics (except motor vehicles),"2,900","2,805",100,700,685,20,"4,415","4,275",145,"3,525","3,470",55,"41,675","40,630","1,045","59,510","58,365","1,140","7,020","6,805",215,"6,795","6,670",125,"28,345","27,830",515,"23,755","23,335",420,225,210,15,255,240,15,65,65,0
72400 Construction millwrights and industrial mechanics,"1,295","1,225",65,145,145,0,"1,505","1,455",45,"1,750","1,745",10,"19,195","18,905",285,"25,145","24,700",445,"1,805","1,750",55,"2,460","2,405",60,"8,375","8,260",115,"7,530","7,415",115,25,25,0,50,40,0,15,15,0
72401 Heavy-duty equipment mechanics,955,940,15,235,235,0,"1,065","1,060",0,910,910,0,"8,760","8,680",85,"8,625","8,545",75,"2,335","2,310",20,"3,125","3,100",30,"13,285","13,055",230,"7,690","7,625",65,150,140,10,100,100,0,40,40,0
"72402 Heating, refrigeration and air conditioning mechanics",220,210,10,85,85,0,730,715,15,510,500,10,"5,865","5,795",70,"15,830","15,555",275,"1,205","1,170",30,580,565,15,"3,500","3,430",75,"3,715","3,635",80,15,15,0,10,10,0,10,10,0
